cat,val
area_other_airport,998372736
area_other_parking,24646921082
area_rail_bridge,49768803
area_rail_exclude,715537386
area_rail_other,50853206
area_rail_railway,3597757100
area_rail_subway,8807683
area_rail_subway_elevated,5802022
area_rail_subway_surface,10189573
area_rail_tram,3016424
area_rail_tunnel,9521236
area_street_bridge_motorway,277505985
area_street_bridge_other,219725155
area_street_exclude,566352085
area_street_local_zone_1,5866031020
area_street_local_zone_2,30633356384
area_street_local_zone_3,15126431077
area_street_local_zone_4,3704099265
area_street_local_zone_5,10532171069
area_street_local_zone_6,8225525466
area_street_motorway,5657427585
area_street_motorway_elevated,278742406
area_street_other_elevated,219725007
area_street_primary,2492998262
area_street_secondary,4412520701
area_street_tertiary,6264156615
area_street_track_zone_1,451209359
area_street_track_zone_2,1195166871
area_street_track_zone_3,520593471
area_street_track_zone_4,419879556
area_street_track_zone_5,2405153314
area_street_track_zone_6,2006974061
area_street_tunnel,12033560
volume_building_commercial_industrial,63499378918
volume_building_commercial_innercity,4481230825
volume_building_highrise,1378705446
volume_building_lightweight,17460567255
volume_building_multifamily,15765335236
volume_building_singlefamily_zone_1,22192138382
volume_building_singlefamily_zone_2,12161183468
volume_building_singlefamily_zone_3,36715079932
volume_building_singlefamily_zone_4,5729704767
volume_building_singlefamily_zone_5,43618178798
volume_building_skyscraper,1359561526
