material,singlefamily_climate1,singlefamily_climate2,singlefamily_climate3,singlefamily_climate4,singlefamily_climate5,commercial_industrial,commercial_innercity,multifamily,highrise,skyscraper,lightweight
iron_steel,0.00278708673518145,0.0019613579402135506,0.005341622762036261,0.005542117596626348,0.002429187755062796,0.017440345251672585,0.01180500611996796,0.01180500611996796,0.017487342184272163,0.03170558853053123,0.013885921555097124
copper,6.429467778844023e-5,6.429467778844023e-5,3.778776218235353e-5,3.298807066715528e-5,1.1288036946854398e-4,3.457055434635353e-5,2.052545155993432e-6,2.052545155993432e-6,0,0,0
aluminum,8.147191260057577e-4,8.008313276440022e-4,7.249341402701076e-4,8.908459437513839e-4,0.0010612546936016522,9.857529703056414e-5,0.001171054956090216,0.001171054956090216,5.541636606108305e-4,0.0020156250000000005,0
all_other_metals,0,0,3.402350646257603e-6,0,0,0,3.2561188811188813e-4,3.2561188811188813e-4,0,0,0
concrete,0.10952265433469247,0.10767003308335504,0.15800554929622226,0.14778906642582681,0.14243952658342757,0.16992703886283453,0.15562112812106701,0.15562112812106701,0.22919041319537883,0.2940821378683626,0.09373873210302466
bricks,0,0,0,0,0.046654781987113814,0,0.066864406779661,0.066864406779661,0,0,0
glass,0.0027102253395272996,0.0020375993762123774,0.0026260475760411677,0.002710251527535942,0.0017655082502889712,0.005754402484085082,0.001071595650304762,0.001071595650304762,6.412089068209385e-4,0.009182291666666668,0.0014576608697246933
aggregate,0.021691386725543257,0.03875034358407931,0.033158723821918736,0.020339788342055277,0.06956136264527514,0.07504020848845869,0.017730553015242862,0.017730553015242862,0.005263710675324107,0,0
all_other_minerals,0.014586351371735778,0.01336434326131845,0.05693033630386153,0.01442806512955832,0.03854488229464953,0.008500866400063745,0.03598192609698505,0.03598192609698505,0.020775278682064587,0.009256944444444444,0.019573072719622726
timber,0.011518594691590542,0.01628275319270939,0.016394256621321067,0.009498168657810604,0.019442703087962525,1.651389248364388e-4,0.015368579780719786,0.015368579780719786,0.0029673988388671402,0,0.01484111468124792
other_biomass_based_materials,0.009115449915110357,0.009115449915110357,0.013021906931539567,0.0060819988681380865,0.008787120788361918,0,0.004535984848484848,0.004535984848484848,3.9e-4,0,0
bitumen,0,2.0717529396859784e-4,0.0010511324375079589,0,1.5227993526754574e-4,8.852319313325535e-4,4.5643486604676525e-5,4.5643486604676525e-5,7.972041494501651e-4,0,0
all_other_fossil_fuel_based_materials,0.009833727024433454,0.0052679082141738965,0.006164942652814165,0.007074270159346473,0.004273385444196017,1.1597093768301663e-7,5.897552666487916e-4,5.897552666487916e-4,1.289323275862069e-4,0,0.0026530612244897956
all_other_materials,0.013224128818886656,0.005860085432546874,0.008975986057033748,0.013197305386169686,0.0070879360050196995,0.0024977981701956612,0.0031016377844947803,0.0031016377844947803,6.987713429964364e-5,2.2395833333333336e-4,0.00423520837433412
insulation,0.0010219179174773105,0.001286317198298636,0.0016559054988573027,0.00126486070884542,0.001413109524558427,4.735157016639153e-4,5.04186384900815e-4,5.04186384900815e-4,2.3323671946664842e-4,0,9.146886868883425e-4
total,0.19689053667797274,0.20266849249741892,0.3040925342122525,0.2288497268163315,0.3437259193642541,0.2808178080374578,0.31471912272444047,0.31471912272444047,0.27849876647414123,0.34646654584333836,0.1512994602144294
