material,motorway,primary,secondary,tertiary,local_climate1,local_climate2,local_climate3,local_climate4,local_climate5,local_climate6,track_climate1,track_climate2,track_climate3,track_climate4,track_climate5,track_climate6,motorway_elevated,bridge_motorway,other_elevated,bridge_other,tunnel
iron_steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11677633256775347,0,0.1360460395029841,0.1717884096795677
copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aluminum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concrete,0.21519378447017262,0.11242302562929121,0.07307337029256537,0.03800022573321481,0.005393910800407097,0.005393910800407097,0.005393910800407097,0.005393910800407097,0.005393910800407097,0.005393910800407097,4.1732300621954364e-4,4.1732300621954364e-4,4.1732300621954364e-4,4.1732300621954364e-4,4.1732300621954364e-4,4.1732300621954364e-4,0,1.533954960572634,0,1.2952550169632424,4.5567217421635995
bricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggregate,0.991005125026467,0.8155155918630195,0.7490153815872422,0.6257928120594749,0.22622024006215863,0.22842155699073113,0.23222383168553823,0.2245192224355344,0.22632029992254826,0.23162347252320026,0.06665826176575898,0.07077284392685398,0.07787984947783623,0.06347881191400376,0.06684528822762692,0.07675769070662852,0.4172801614954181,0,0.286778123018596,0,0
all_other_minerals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other_biomass_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitumen,0.01230690131718248,0.013939136413843138,0.012250546399328542,0.00979052812008932,0.0023557183131302983,0.0023557183131302983,0.0023557183131302983,0.0023557183131302983,0.0023557183131302983,0.0023557183131302983,1.8226023466457226e-4,1.8226023466457226e-4,1.8226023466457226e-4,1.8226023466457226e-4,1.8226023466457226e-4,1.8226023466457226e-4,0.02196211376291674,0,0.01509358542203137,0,0
all_other_fossil_fuel_based_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_other_materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total,1.218505810813822,0.9418777539061538,0.8343392982791361,0.673583565912779,0.23396986917569604,0.23617118610426854,0.23997346079907564,0.23226885154907181,0.23406992903608567,0.23937310163673767,0.0672578450066431,0.0713724271677381,0.07847943271872035,0.06407839515488788,0.06744487146851104,0.07735727394751264,0.4392422752583348,1.6507312931403875,0.3018717084406274,1.4313010564662265,4.728510151843167
